country,Children_per_Woman,Life_Expectancy,Child_Mortality,Income_per_Person,co2_per_Person
Tanzania,4.83,68.4,51.3,2980,0.222
Thailand,1.44,79,8.77,17400,4.15
Timor-Leste,5.17,71.7,44.2,7050,0.412
Togo,4.26,65.6,68,1610,0.434
Tonga,3.52,72.2,15.2,5900,1.31
Trinidad and Tobago,1.72,74.8,17.9,28500,31.3
Tunisia,2.12,79.1,16.5,11100,2.73
Turkey,2,80,10.1,25000,5.2
Turkmenistan,2.74,70.6,45.1,17600,13.7
Uganda,5.32,67.3,44.6,1870,0.135
Ukraine,1.58,71,8.46,8480,5.09
United Arab Emirates,1.7,73.9,7.37,65700,21.4
United Kingdom,1.87,81.3,4.24,40400,5.65
United States,1.9,78.7,6.58,56700,16.6
Uruguay,1.96,77.6,7.38,20900,2.01
Uzbekistan,2.21,70.9,20.8,6490,2.81
Vanuatu,3.17,65.3,25.7,2890,0.529
Venezuela,2.25,75.2,25.3,9720,4.81
Vietnam,1.94,74.9,20.4,6970,2.16
Yemen,3.69,68.3,54.9,2340,0.356
Zambia,4.81,64.6,56.1,3700,0.302
Zimbabwe,3.53,62.5,44.4,2390,0.85
